layer,uniprot,d_train,d_control,delta,nearest_train
L2,Q9BZP6,0.0865,0.1327,-0.0461,
L2,Q9C0B1,0.1129,0.1186,-0.0057,
L2,Q9GZT9,0.0711,0.1020,-0.0309,
L2,Q9H2K2,0.1329,0.1218,0.0111,
L2,Q9H7B4,0.1112,0.1195,-0.0083,
L2,Q9H8M2,0.0982,0.1089,-0.0106,
L2,Q9HAZ1,0.0421,0.1168,-0.0746,
L2,Q9HBH9,0.1077,0.1185,-0.0109,
L2,Q9NR48,0.1214,0.1099,0.0115,
L2,Q9NSY1,0.0720,0.1080,-0.0360,
L2,Q9NWZ3,0.0988,0.1007,-0.0019,
L2,Q9NYL2,0.1031,0.1181,-0.0150,
L2,Q9NYV4,0.0433,0.1189,-0.0756,
L2,Q9NZQ7,0.1087,0.1147,-0.0061,
L2,Q9P1W9,0.0898,0.0943,-0.0045,
L2,Q9P2K8,0.1084,0.1012,0.0072,
L2,Q9UBN7,0.1203,0.1087,0.0116,
L2,Q9UDY8,0.1205,0.1181,0.0024,
L2,Q9UEE5,0.0894,0.1252,-0.0359,
L2,Q9UGN5,0.0475,0.1075,-0.0600,
L2,Q9UIQ6,0.0947,0.1131,-0.0184,
L2,Q9UK32,0.0711,0.1038,-0.0327,
L2,Q9UKE5,0.1160,0.1342,-0.0182,
L2,Q9ULX7,0.1110,0.1188,-0.0078,
L2,Q9UM07,0.0993,0.1212,-0.0219,
L2,Q9UM73,0.0909,0.1159,-0.0249,
L2,Q9UNA0,0.0916,0.1092,-0.0175,
L2,Q9UNQ0,0.1105,0.1102,0.0003,
L2,Q9UQB9,0.0657,0.1245,-0.0588,
L2,Q9Y233,0.1249,0.1126,0.0124,
L2,Q9Y251,0.1211,0.1213,-0.0002,
L2,Q9Y2K2,0.1146,0.1186,-0.0041,
L2,Q9Y572,0.1402,0.1333,0.0068,
L2,Q9Y5Y6,0.1309,0.1207,0.0101,
L3,O14638,0.1292,0.1280,0.0011,
L3,O94921,0.1375,0.1263,0.0112,
L3,P01111,0.0505,0.1087,-0.0583,
L3,P05556,0.0955,0.1014,-0.0059,
L3,P08519,0.1137,0.1156,-0.0019,
L3,P11498,0.1069,0.0987,0.0082,
L3,P11926,0.1144,0.1120,0.0024,
L3,P18564,0.1046,0.1106,-0.0060,
L3,P28347,0.0942,0.1032,-0.0089,
L3,P30405,0.0738,0.0824,-0.0086,
L3,P36222,0.1153,0.1206,-0.0052,
L3,P40879,0.1300,0.1263,0.0037,
L3,P43250,0.1030,0.1036,-0.0005,
L3,Q02779,0.1148,0.1354,-0.0206,
L3,Q14123,0.1137,0.0882,0.0255,
L3,Q15562,0.0880,0.0927,-0.0047,
L3,Q15878,0.1215,0.1318,-0.0103,
L3,Q16665,0.0847,0.0977,-0.0130,
L3,Q92830,0.0617,0.1086,-0.0469,
L3,Q99594,0.0957,0.1061,-0.0104,
L3,Q9HCR9,0.1039,0.1045,-0.0006,
L3,Q9NP56,0.0865,0.1280,-0.0416,
L3,Q9UKS7,0.0498,0.1180,-0.0682,
L3,Q9Y6M4,0.0878,0.0941,-0.0062,
L4,O00187,0.1116,0.1115,0.0001,
L4,O00411,0.0869,0.0895,-0.0025,
L4,O00443,0.1063,0.0831,0.0232,
L4,O00750,0.0466,0.0774,-0.0308,
L4,O14578,0.1349,0.1505,-0.0156,
L4,O14874,0.1157,0.1144,0.0013,
L4,O14929,0.1259,0.1299,-0.0041,
L4,O15393,0.1049,0.1168,-0.0119,
L4,O60285,0.1309,0.1292,0.0017,
L4,O60427,0.1092,0.1207,-0.0115,
L4,O60563,0.1051,0.1147,-0.0096,
L4,O75106,0.0508,0.1178,-0.0670,
L4,O75365,0.1115,0.1139,-0.0024,
L4,O75747,0.1243,0.1238,0.0005,
L4,O75909,0.1264,0.1107,0.0157,
L4,O95278,0.1303,0.1243,0.0061,
L4,O95835,0.1176,0.1186,-0.0010,
L4,O95931,0.0780,0.1115,-0.0335,
L4,P01127,0.0895,0.0909,-0.0014,
L4,P01584,0.1244,0.1261,-0.0017,
L4,P05067,0.0894,0.0813,0.0080,
L4,P09871,0.1144,0.1071,0.0073,
L4,P09936,0.1128,0.1056,0.0072,
L4,P11274,0.1078,0.0736,0.0343,
L4,P12429,0.1160,0.0799,0.0361,
L4,P12955,0.1025,0.0911,0.0114,
L4,P15692,0.0996,0.0899,0.0097,
L4,P17927,0.1149,0.1220,-0.0071,
L4,P17948,0.1079,0.1158,-0.0079,
L4,P18510,0.1316,0.1223,0.0093,
L4,P19525,0.1190,0.1155,0.0035,
L4,P20248,0.1086,0.1013,0.0073,
L4,P20648,0.1182,0.1103,0.0079,
L4,P22001,0.1288,0.1091,0.0197,
L4,P22681,0.1034,0.1007,0.0027,
L4,P22830,0.0915,0.0858,0.0057,
L4,P23743,0.1078,0.1067,0.0011,
L4,P24385,0.1064,0.1020,0.0044,
L4,P24863,0.1059,0.1166,-0.0107,
L4,P24864,0.1088,0.0883,0.0205,
L4,P26012,0.1114,0.1049,0.0065,
L4,P27986,0.0975,0.0839,0.0137,
L4,P30281,0.1200,0.1143,0.0057,
L4,P31350,0.1091,0.0721,0.0370,
L4,P35869,0.1102,0.1071,0.0032,
L4,P37059,0.1289,0.1405,-0.0116,
L4,P41235,0.0981,0.0426,0.0555,
L4,P42226,0.0929,0.0883,0.0046,
L4,P43251,0.1184,0.1166,0.0018,
L4,P43354,0.0762,0.0953,-0.0191,
L4,P48048,0.1216,0.0984,0.0232,
L4,P48549,0.1169,0.1269,-0.0100,
L4,P49721,0.1331,0.1318,0.0013,
L4,P49959,0.1311,0.1341,-0.0030,
L4,P51946,0.1234,0.1210,0.0024,
L4,P52429,0.1237,0.1148,0.0089,
L4,P54278,0.1201,0.1197,0.0004,
L4,P57059,0.1042,0.0716,0.0326,
L4,P62837,0.0992,0.1041,-0.0048,
L4,P78396,0.1213,0.1012,0.0201,
L4,Q01973,0.1002,0.1148,-0.0146,
L4,Q03164,0.1309,0.1266,0.0043,
L4,Q04912,0.1220,0.1236,-0.0017,
L4,Q06830,0.1177,0.1163,0.0014,
L4,Q08211,0.1064,0.1068,-0.0004,
L4,Q08828,0.1266,0.1310,-0.0044,
L4,Q12809,0.1241,0.0985,0.0256,
L4,Q13094,0.1105,0.0967,0.0137,
L4,Q13191,0.0380,0.1029,-0.0648,
L4,Q13233,0.1387,0.1374,0.0013,
L4,Q13535,0.1361,0.1350,0.0011,
L4,Q13564,0.1334,0.1374,-0.0040,
L4,Q13574,0.1228,0.1239,-0.0011,
L4,Q13686,0.0804,0.0856,-0.0053,
L4,Q13724,0.1151,0.1210,-0.0059,
L4,Q14191,0.1088,0.1017,0.0070,
L4,Q14721,0.1281,0.1267,0.0013,
L4,Q15116,0.1293,0.1151,0.0142,
L4,Q15369,0.1089,0.1027,0.0062,
L4,Q15633,0.1054,0.1059,-0.0005,
L4,Q16531,0.1290,0.1263,0.0026,
L4,Q16832,0.1127,0.1286,-0.0158,
L4,Q16853,0.0963,0.0878,0.0085,
L4,Q5JRX3,0.1014,0.1043,-0.0028,
L4,Q6NS38,0.1350,0.1352,-0.0002,
L4,Q6SZW1,0.1060,0.1106,-0.0047,
L4,Q86SK9,0.0940,0.1236,-0.0296,
L4,Q86UE8,0.1305,0.0640,0.0665,
L4,Q86YV6,0.0972,0.1038,-0.0066,
L4,Q8IU80,0.1128,0.1148,-0.0020,
L4,Q8IWV7,0.1296,0.1228,0.0068,
L4,Q8NEV1,0.0767,0.0938,-0.0171,
L4,Q8TD08,0.1274,0.1410,-0.0136,
L4,Q8WYB5,0.0821,0.0988,-0.0167,
L4,Q92743,0.1230,0.1154,0.0077,
L4,Q92794,0.1098,0.0931,0.0167,
L4,Q92905,0.1214,0.1262,-0.0049,
L4,Q92932,0.0938,0.0949,-0.0011,
L4,Q96DB2,0.0993,0.1152,-0.0159,
L4,Q96GX5,0.1257,0.1250,0.0007,
L4,Q96KP4,0.1146,0.1095,0.0050,
L4,Q99986,0.1252,0.1303,-0.0050,
L4,Q9BW19,0.0673,0.0912,-0.0239,
L4,Q9BZ95,0.0644,0.0968,-0.0325,
L4,Q9H093,0.1193,0.1259,-0.0065,
L4,Q9H0K1,0.1269,0.1171,0.0097,
L4,Q9H7M9,0.1187,0.1203,-0.0016,
L4,Q9H7Z6,0.1186,0.1198,-0.0012,
L4,Q9NPF7,0.1311,0.1328,-0.0016,
L4,Q9NPH5,0.1281,0.1097,0.0184,
L4,Q9NR19,0.1227,0.1123,0.0104,
L4,Q9NY59,0.1278,0.1173,0.0105,
L4,Q9UBE0,0.1373,0.1237,0.0135,
L4,Q9UGI9,0.1067,0.1061,0.0007,
L4,Q9UJ71,0.1345,0.1228,0.0117,
L4,Q9UKP4,0.0886,0.1174,-0.0287,
L4,Q9UKX2,0.1325,0.1177,0.0147,
L4,Q9ULV8,0.1082,0.1165,-0.0083,
L4,Q9Y239,0.1089,0.0971,0.0117,
L4,Q9Y2I1,0.1348,0.1314,0.0033,
L4,Q9Y2I7,0.1151,0.1058,0.0093,
L4,Q9Y4K0,0.1167,0.1114,0.0053,
L4,Q9Y618,0.1266,0.1268,-0.0002,
