uniprot,layer,n_actives,n_decoys,protein_class,structure_grade,boltz_plddt,boltz_iptm
P40261,L2,13,650,其他酶,A 实验结构,,
P40337,L2,22,1100,其他/未分类,A 实验结构,,
P40763,L2,50,2500,其他/未分类,A 实验结构,,
P40879,L3,20,1000,转运体,A 实验结构,,
P41143,L1,14,700,GPCR,A 实验结构,,
P41143,L2,92,4600,GPCR,A 实验结构,,
P41144,L2,15,750,GPCR,C 无置信度记录,,
P41145,L1,193,9650,GPCR,A 实验结构,,
P41145,L2,526,26300,GPCR,A 实验结构,,
P41146,L2,54,2700,GPCR,A 实验结构,,
P41149,L3,26,1300,GPCR,C 无置信度记录,,
P41182,L1,63,3150,其他/未分类,A 实验结构,,
P41182,L2,406,20300,其他/未分类,A 实验结构,,
P41235,L4,18,900,其他/未分类,A 实验结构,,
P41240,L1,18,900,激酶,A 实验结构,,
P41240,L2,174,8700,激酶,A 实验结构,,
P41594,L2,26,1300,GPCR,A 实验结构,,
P41595,L1,91,4550,GPCR,A 实验结构,,
P41595,L2,49,2450,GPCR,A 实验结构,,
P42226,L4,43,2150,其他/未分类,A 实验结构,,
P42330,L1,33,1650,其他酶,A 实验结构,,
P42330,L2,77,3850,其他酶,A 实验结构,,
P42336,L1,89,4450,其他酶,A 实验结构,,
P42336,L2,854,42700,其他酶,A 实验结构,,
P42338,L1,50,2500,其他酶,C 无置信度记录,,
P42338,L2,120,6000,其他酶,C 无置信度记录,,
P42345,L1,33,1650,激酶,A 实验结构,,
P42345,L2,80,4000,激酶,A 实验结构,,
P43116,L2,32,1600,GPCR,A 实验结构,,
P43140,L4,11,550,GPCR,C 无置信度记录,,
P43166,L1,81,4050,其他酶,A 实验结构,,
P43166,L2,39,1950,其他酶,A 实验结构,,
P43220,L3,129,6450,GPCR,A 实验结构,,
P43235,L2,11,550,蛋白酶,A 实验结构,,
P43250,L3,22,1100,激酶,A 实验结构,,
P43251,L4,28,1400,其他酶,B 预测·置信达标,0.896,0.979
P43341,L4,153,7650,其他/未分类,B 预测·置信达标,0.948,0.951
P43354,L4,35,1750,核受体,A 实验结构,,
P43405,L1,11,550,激酶,A 实验结构,,
P43405,L2,104,5200,激酶,A 实验结构,,
P43490,L1,17,850,其他酶,A 实验结构,,
P43490,L2,482,24100,其他酶,A 实验结构,,
P43681,L2,11,550,离子通道,A 实验结构,,
P45452,L2,35,1750,蛋白酶,A 实验结构,,
P45983,L1,34,1700,激酶,A 实验结构,,
P45983,L2,28,1400,激酶,A 实验结构,,
P45984,L1,32,1600,激酶,A 实验结构,,
P45984,L2,54,2700,激酶,A 实验结构,,
P46976,L4,22,1100,其他/未分类,A 实验结构,,
P47205,L2,147,7350,其他酶,A 实验结构,,
P47746,L1,17,850,GPCR,C 无置信度记录,,
P47869,L2,184,9200,离子通道,C 无置信度记录,,
P47989,L1,55,2750,其他酶,A 实验结构,,
P47989,L2,14,700,其他酶,A 实验结构,,
P48025,L4,13,650,激酶,B 预测·置信达标,0.829,0.983
P48039,L1,13,650,GPCR,A 实验结构,,
P48039,L2,12,600,GPCR,A 实验结构,,
P48048,L4,30,1500,离子通道,C 预测·置信不足,0.698,0.628
P48549,L4,22,1100,离子通道,C 预测·置信不足,0.572,0.695
P48729,L2,134,6700,激酶,A 实验结构,,
P48730,L2,144,7200,激酶,A 实验结构,,
P48735,L1,11,550,其他酶,A 实验结构,,
P48735,L2,29,1450,其他酶,A 实验结构,,
P48736,L1,124,6200,其他酶,A 实验结构,,
P48736,L2,223,11150,其他酶,A 实验结构,,
P49137,L1,10,500,激酶,A 实验结构,,
P49137,L2,13,650,激酶,A 实验结构,,
P49238,L4,19,950,GPCR,B 预测·置信达标,0.737,0.828
P49286,L1,18,900,GPCR,A 实验结构,,
P49286,L2,13,650,GPCR,A 实验结构,,
P49327,L1,665,33250,其他酶,A 实验结构,,
P49327,L2,11,550,其他酶,A 实验结构,,
P49336,L2,35,1750,激酶,A 实验结构,,
P49674,L2,13,650,激酶,A 实验结构,,
P49721,L4,15,750,蛋白酶,B 预测·置信达标,0.834,0.841
P49759,L1,11,550,激酶,A 实验结构,,
P49759,L2,134,6700,激酶,A 实验结构,,
P49760,L1,13,650,激酶,A 实验结构,,
P49760,L2,257,12850,激酶,A 实验结构,,
P49761,L2,138,6900,激酶,A 实验结构,,
P49840,L1,10,500,激酶,A 实验结构,,
P49840,L2,1580,79000,激酶,A 实验结构,,
P49841,L1,24,1200,激酶,A 实验结构,,
P49841,L2,1407,70350,激酶,A 实验结构,,
P49959,L4,12,600,其他酶,A 实验结构,,
P50052,L4,214,10700,GPCR,A 实验结构,,
P50053,L1,25,1250,其他酶,A 实验结构,,
P50053,L2,944,47200,其他酶,A 实验结构,,
P50406,L1,67,3350,GPCR,A 实验结构,,
P50406,L2,56,2800,GPCR,A 实验结构,,
P50613,L1,22,1100,激酶,A 实验结构,,
P50613,L2,175,8750,激酶,A 实验结构,,
P50750,L1,67,3350,激酶,A 实验结构,,
P50750,L2,192,9600,激酶,A 实验结构,,
P51449,L1,40,2000,核受体,A 实验结构,,
P51449,L2,48,2400,核受体,A 实验结构,,
P51451,L1,11,550,激酶,C 无置信度记录,,
P51531,L1,17,850,表观,A 实验结构,,
P51531,L2,92,4600,表观,A 实验结构,,
P51532,L1,10,500,表观,A 实验结构,,
P51532,L2,82,4100,表观,A 实验结构,,
P51617,L1,15,750,激酶,A 实验结构,,
P51617,L2,43,2150,激酶,A 实验结构,,
P51684,L3,11,550,GPCR,B 预测·置信达标,0.766,0.868
P51812,L1,16,800,激酶,A 实验结构,,
P51813,L1,15,750,激酶,A 实验结构,,
P51813,L2,42,2100,激酶,A 实验结构,,
P51946,L4,104,5200,其他/未分类,B 预测·置信达标,0.753,0.885
P51955,L1,17,850,激酶,A 实验结构,,
P52333,L1,256,12800,激酶,A 实验结构,,
P52333,L2,725,36250,激酶,A 实验结构,,
P52429,L4,81,4050,其他酶,B 预测·置信达标,0.834,0.861
P52895,L2,12,600,其他酶,A 实验结构,,
P53350,L1,24,1200,激酶,A 实验结构,,
P53350,L2,107,5350,激酶,A 实验结构,,
P53396,L2,59,2950,其他酶,A 实验结构,,
P53634,L1,58,2900,蛋白酶,A 实验结构,,
P53634,L2,415,20750,蛋白酶,A 实验结构,,
P53667,L2,62,3100,激酶,A 实验结构,,
P53671,L2,66,3300,激酶,A 实验结构,,
P53779,L1,32,1600,激酶,A 实验结构,,
P53779,L2,65,3250,激酶,A 实验结构,,
P54278,L4,85,4250,其他酶,A 实验结构,,
P54646,L1,23,1150,激酶,A 实验结构,,
P54646,L2,14,700,激酶,A 实验结构,,
P55055,L1,13,650,核受体,A 实验结构,,
P55055,L2,12,600,核受体,A 实验结构,,
P56373,L2,27,1350,离子通道,A 实验结构,,
P56450,L3,13,650,GPCR,B 预测·置信达标,0.812,0.950
P56524,L1,28,1400,表观,A 实验结构,,
P56524,L2,17,850,表观,A 实验结构,,
P56528,L3,103,5150,其他酶,B 预测·置信达标,0.921,0.951
P56817,L1,260,13000,蛋白酶,A 实验结构,,
P56817,L2,352,17600,蛋白酶,A 实验结构,,
P57059,L4,84,4200,激酶,C 预测·置信不足,0.494,0.963
P61073,L2,52,2600,GPCR,A 实验结构,,
P61964,L1,17,850,表观,A 实验结构,,
P61964,L2,51,2550,表观,A 实验结构,,
P62813,L2,86,4300,离子通道,C 无置信度记录,,
P62837,L4,39,1950,其他酶,B 预测·置信达标,0.890,0.621
P62937,L1,18,900,其他酶,A 实验结构,,
P62937,L2,101,5050,其他酶,A 实验结构,,
P68400,L1,14,700,激酶,A 实验结构,,
P68400,L2,221,11050,激酶,A 实验结构,,
P69996,L2,11,550,其他酶,A 实验结构,,
P78396,L4,27,1350,其他/未分类,C 无置信度记录,,
P78527,L1,10,500,激酶,A 实验结构,,
P78527,L2,632,31600,激酶,A 实验结构,,
P78540,L1,16,800,其他酶,A 实验结构,,
P79208,L2,26,1300,其他酶,C 无置信度记录,,
P80192,L2,58,2900,激酶,A 实验结构,,
P80457,L1,32,1600,其他酶,A 实验结构,,
P80457,L2,31,1550,其他酶,A 实验结构,,
P81908,L1,46,2300,其他酶,C 无置信度记录,,
P81908,L2,138,6900,其他酶,C 无置信度记录,,
P95160,L4,23,1150,其他酶,A 实验结构,,
P97321,L2,46,2300,蛋白酶,C 无置信度记录,,
P97612,L2,12,600,其他酶,A 实验结构,,
P97639,L4,24,1200,GPCR,B 预测·置信达标,0.776,0.981
P97821,L3,83,4150,蛋白酶,B 预测·置信达标,0.881,0.973
P98170,L2,210,10500,其他/未分类,A 实验结构,,
P9WGR1,L2,12,600,其他酶,A 实验结构,,
Q00534,L1,11,550,激酶,A 实验结构,,
Q00534,L2,1091,54550,激酶,A 实验结构,,
Q00535,L1,19,950,激酶,A 实验结构,,
Q00535,L2,40,2000,激酶,A 实验结构,,
Q00536,L2,34,1700,激酶,A 实验结构,,
Q00959,L3,15,750,离子通道,A 实验结构,,
Q00960,L2,69,3450,离子通道,A 实验结构,,
Q00961,L3,21,1050,离子通道,A 实验结构,,
Q00987,L2,65,3250,其他/未分类,A 实验结构,,
Q01064,L2,694,34700,其他酶,A 实验结构,,
Q01538,L4,1302,65100,其他/未分类,C 预测·置信不足,0.393,0.303
Q01650,L1,18,900,转运体,A 实验结构,,
Q01727,L3,29,1450,GPCR,C 无置信度记录,,
Q01827,L1,30,1500,转运体,C 无置信度记录,,
Q01959,L2,25,1250,转运体,A 实验结构,,
Q01973,L4,22,1100,其他/未分类,A 实验结构,,
Q02127,L1,74,3700,其他酶,A 实验结构,,
Q02127,L2,108,5400,其他酶,A 实验结构,,
Q02750,L1,14,700,激酶,A 实验结构,,
Q02750,L2,13,650,激酶,A 实验结构,,
Q02769,L2,47,2350,其他酶,C 无置信度记录,,
Q02779,L3,16,800,激酶,C 预测·置信不足,0.510,0.981
Q02974,L4,26,1300,其他酶,B 预测·置信达标,0.967,0.976
Q03111,L2,100,5000,表观,A 实验结构,,
Q03164,L4,268,13400,表观,A 实验结构,,
Q03181,L1,15,750,核受体,A 实验结构,,
Q04609,L1,36,1800,蛋白酶,A 实验结构,,
Q04609,L2,101,5050,蛋白酶,A 实验结构,,
Q04759,L1,19,950,激酶,A 实验结构,,
Q04759,L2,37,1850,激酶,A 实验结构,,
Q04771,L2,40,2000,激酶,A 实验结构,,
Q04828,L2,18,900,其他酶,A 实验结构,,
Q04912,L4,11,550,激酶,A 实验结构,,
Q05397,L1,90,4500,激酶,A 实验结构,,
Q05397,L2,369,18450,激酶,A 实验结构,,
Q05586,L1,44,2200,离子通道,A 实验结构,,
Q05941,L2,14,700,离子通道,C 无置信度记录,,
Q06124,L1,28,1400,其他酶,A 实验结构,,
Q06124,L2,487,24350,其他酶,A 实验结构,,
Q06187,L1,355,17750,激酶,A 实验结构,,
Q06187,L2,977,48850,激酶,A 实验结构,,
Q06418,L1,27,1350,激酶,C 无置信度记录,,
Q06418,L2,812,40600,激酶,C 无置信度记录,,
Q06830,L4,30,1500,其他酶,A 实验结构,,
Q07343,L1,47,2350,其他酶,A 实验结构,,
Q07343,L2,188,9400,其他酶,A 实验结构,,
Q07422,L1,12,600,其他酶,A 实验结构,,
Q07817,L1,14,700,离子通道,A 实验结构,,
Q07817,L2,377,18850,离子通道,A 实验结构,,
Q07820,L1,52,2600,其他/未分类,A 实验结构,,
Q07820,L2,107,5350,其他/未分类,A 实验结构,,
Q07869,L1,15,750,核受体,A 实验结构,,
Q07889,L1,21,1050,其他/未分类,A 实验结构,,
Q07889,L2,591,29550,其他/未分类,A 实验结构,,
Q07912,L1,10,500,激酶,A 实验结构,,
Q08210,L2,66,3300,其他酶,A 实验结构,,
Q08211,L4,707,35350,其他酶,A 实验结构,,
Q08345,L1,19,950,激酶,A 实验结构,,
Q08345,L2,338,16900,激酶,A 实验结构,,
Q08499,L1,18,900,其他酶,A 实验结构,,
Q08499,L2,214,10700,其他酶,A 实验结构,,
Q08828,L4,68,3400,其他酶,B 预测·置信达标,0.769,0.655
Q08881,L1,16,800,激酶,A 实验结构,,
Q09472,L2,112,5600,表观,A 实验结构,,
Q10469,L4,171,8550,其他酶,A 实验结构,,
Q12809,L4,39,1950,离子通道,A 实验结构,,
Q12851,L2,21,1050,激酶,C 无置信度记录,,
Q12866,L1,45,2250,激酶,A 实验结构,,
Q12866,L2,875,43750,激酶,A 实验结构,,
Q12879,L1,17,850,离子通道,A 实验结构,,
Q12879,L2,12,600,离子通道,A 实验结构,,
Q12884,L1,48,2400,蛋白酶,A 实验结构,,
Q12884,L2,122,6100,蛋白酶,A 实验结构,,
Q12931,L2,11,550,其他/未分类,A 实验结构,,
Q13043,L1,50,2500,激酶,A 实验结构,,
Q13043,L2,15,750,激酶,A 实验结构,,
Q13085,L1,12,600,其他酶,A 实验结构,,
Q13085,L2,23,1150,其他酶,A 实验结构,,
Q13094,L4,30,1500,其他/未分类,C 预测·置信不足,0.447,0.269
Q13131,L1,26,1300,激酶,A 实验结构,,
Q13133,L1,16,800,核受体,A 实验结构,,
Q13133,L2,11,550,核受体,A 实验结构,,
Q13153,L2,16,800,激酶,A 实验结构,,
Q13164,L1,16,800,激酶,A 实验结构,,
Q13164,L2,15,750,激酶,A 实验结构,,
Q13188,L1,50,2500,激酶,A 实验结构,,
Q13191,L4,1232,61600,其他酶,A 实验结构,,
Q13224,L1,34,1700,离子通道,A 实验结构,,
Q13224,L2,42,2100,离子通道,A 实验结构,,
Q13233,L4,58,2900,激酶,B 预测·置信达标,0.853,0.955
Q13315,L1,14,700,激酶,A 实验结构,,
Q13315,L2,216,10800,激酶,A 实验结构,,
Q13451,L2,28,1400,其他酶,A 实验结构,,
Q13464,L1,22,1100,激酶,A 实验结构,,
Q13464,L2,183,9150,激酶,A 实验结构,,
Q13489,L2,211,10550,其他酶,C 无置信度记录,,
Q13490,L2,211,10550,其他酶,A 实验结构,,
Q13526,L1,20,1000,其他酶,A 实验结构,,
Q13526,L2,14,700,其他酶,A 实验结构,,
Q13535,L4,477,23850,激酶,A 实验结构,,
Q13541,L4,354,17700,其他/未分类,C 预测·置信不足,0.446,0.722
Q13546,L1,54,2700,激酶,A 实验结构,,
Q13546,L2,588,29400,激酶,A 实验结构,,
Q13547,L1,361,18050,表观,A 实验结构,,
Q13547,L2,1044,52200,表观,A 实验结构,,
Q13564,L4,23,1150,其他/未分类,C 预测·置信不足,0.897,0.548
Q13574,L4,576,28800,其他酶,B 预测·置信达标,0.712,0.858
Q13627,L1,111,5550,激酶,A 实验结构,,
Q13627,L2,462,23100,激酶,A 实验结构,,
Q13639,L4,49,2450,GPCR,A 实验结构,,
Q13686,L4,40,2000,其他酶,A 实验结构,,
Q13724,L4,529,26450,其他酶,B 预测·置信达标,0.898,0.918
Q13822,L1,28,1400,其他酶,A 实验结构,,
Q13822,L2,197,9850,其他酶,A 实验结构,,
Q13946,L1,12,600,其他酶,A 实验结构,,
Q13946,L2,93,4650,其他酶,A 实验结构,,
Q14004,L2,42,2100,其他酶,A 实验结构,,
Q14123,L3,40,2000,其他酶,C 预测·置信不足,0.650,0.950
Q14145,L1,13,650,其他/未分类,A 实验结构,,
Q14145,L2,124,6200,其他/未分类,A 实验结构,,
Q14191,L4,1507,75350,其他酶,A 实验结构,,
Q14289,L1,20,1000,激酶,A 实验结构,,
Q14432,L2,47,2350,其他酶,A 实验结构,,
Q14524,L2,36,1800,离子通道,A 实验结构,,
Q14721,L4,30,1500,离子通道,C 预测·置信不足,0.529,0.515
Q14833,L2,171,8550,GPCR,A 实验结构,,
Q14994,L2,22,1100,核受体,A 实验结构,,
Q15040,L4,24,1200,其他酶,B 预测·置信达标,0.790,0.884
Q15059,L1,43,2150,表观,A 实验结构,,
Q15059,L2,37,1850,表观,A 实验结构,,
Q15078,L4,52,2600,激酶,C 预测·置信不足,0.559,0.671
Q15116,L4,107,5350,其他/未分类,C 预测·置信不足,0.603,0.819
Q15118,L1,13,650,激酶,A 实验结构,,
Q15118,L2,17,850,激酶,A 实验结构,,
Q15119,L2,112,5600,激酶,A 实验结构,,
Q15125,L2,177,8850,其他酶,A 实验结构,,
Q15303,L1,14,700,激酶,A 实验结构,,
Q15369,L4,11,550,其他/未分类,C 预测·置信不足,0.657,0.866
Q15391,L3,28,1400,GPCR,A 实验结构,,
Q15561,L1,57,2850,其他/未分类,A 实验结构,,
Q15561,L2,386,19300,其他/未分类,A 实验结构,,
Q15562,L3,180,9000,其他/未分类,A 实验结构,,
Q15633,L4,42,2100,其他/未分类,C 无置信度记录,,
Q15726,L4,27,1350,其他/未分类,C 预测·置信不足,0.320,0.601
Q15858,L2,660,33000,离子通道,A 实验结构,,
Q15878,L3,151,7550,离子通道,A 实验结构,,
Q15910,L1,31,1550,表观,A 实验结构,,
Q15910,L2,735,36750,表观,A 实验结构,,
Q16204,L4,30,1500,其他/未分类,C 预测·置信不足,0.535,0.538
Q16236,L4,86,4300,其他/未分类,C 预测·置信不足,0.398,0.511
Q16288,L1,20,1000,激酶,A 实验结构,,
Q16288,L2,166,8300,激酶,A 实验结构,,
Q16512,L1,16,800,激酶,A 实验结构,,
Q16531,L4,491,24550,其他/未分类,C 预测·置信不足,0.875,0.585
Q16539,L1,14,700,激酶,A 实验结构,,
Q16539,L2,37,1850,激酶,A 实验结构,,
Q16548,L4,13,650,离子通道,A 实验结构,,
Q16552,L2,262,13100,其他/未分类,A 实验结构,,
Q16584,L2,93,4650,激酶,C 无置信度记录,,
Q16602,L2,24,1200,GPCR,A 实验结构,,
Q16620,L1,19,950,激酶,A 实验结构,,
Q16620,L2,188,9400,激酶,A 实验结构,,
Q16665,L3,28,1400,其他/未分类,C 预测·置信不足,0.456,0.462
Q16678,L1,107,5350,P450,A 实验结构,,
Q16678,L2,31,1550,P450,A 实验结构,,
Q16739,L4,309,15450,其他酶,B 预测·置信达标,0.907,0.869
Q16740,L2,32,1600,其他酶,A 实验结构,,
Q16769,L1,27,1350,其他酶,A 实验结构,,
Q16769,L2,67,3350,其他酶,A 实验结构,,
Q16790,L1,205,10250,其他酶,A 实验结构,,
Q16790,L2,250,12500,其他酶,A 实验结构,,
Q16832,L4,326,16300,激酶,A 实验结构,,
Q16853,L4,84,4200,其他酶,A 实验结构,,
Q16873,L2,11,550,其他酶,A 实验结构,,
Q29550,L4,15,750,其他酶,B 预测·置信达标,0.871,0.943
Q2FYS5,L4,29,1450,其他/未分类,B 预测·置信达标,0.786,0.610
Q2KHZ8,L1,26,1300,其他酶,C 无置信度记录,,
Q2M2I8,L1,29,1450,激酶,A 实验结构,,
Q2M2I8,L2,63,3150,激酶,A 实验结构,,
Q32ZE1,L2,150,7500,其他酶,A 实验结构,,
Q3SYC2,L4,15,750,其他酶,B 预测·置信达标,0.871,0.920
Q3TBT3,L2,14,700,其他/未分类,A 实验结构,,
Q460N5,L2,24,1200,其他酶,A 实验结构,,
Q58F21,L2,39,1950,表观,A 实验结构,,
Q5BJF2,L1,38,1900,其他/未分类,C 无置信度记录,,
Q5BJF2,L2,110,5500,其他/未分类,C 无置信度记录,,
Q5JRX3,L4,57,2850,其他酶,A 实验结构,,
Q5M868,L4,79,3950,其他/未分类,B 预测·置信达标,0.897,0.985
Q5S007,L1,29,1450,激酶,A 实验结构,,
Q5S007,L2,760,38000,激酶,A 实验结构,,
Q5TCY1,L1,16,800,激酶,A 实验结构,,
Q5U3Y7,L2,42,2100,其他/未分类,C 无置信度记录,,
Q60492,L2,48,2400,其他/未分类,C 无置信度记录,,
Q60795,L4,27,1350,其他/未分类,C 预测·置信不足,0.393,0.845
Q62645,L3,15,750,离子通道,A 实验结构,,
Q63470,L2,13,650,激酶,C 无置信度记录,,
Q64610,L2,55,2750,其他酶,A 实验结构,,
Q695T7,L4,201,10050,其他/未分类,A 实验结构,,
Q6GI75,L1,16,800,其他酶,A 实验结构,,
Q6NS38,L4,14,700,其他酶,A 实验结构,,
Q6P179,L1,12,600,蛋白酶,A 实验结构,,
Q6P179,L2,17,850,蛋白酶,A 实验结构,,
Q6SZW1,L4,243,12150,其他酶,A 实验结构,,
Q6V1X1,L2,69,3450,蛋白酶,A 实验结构,,
Q6ZQW0,L1,96,4800,其他酶,C 无置信度记录,,
Q6ZQW0,L2,54,2700,其他酶,C 无置信度记录,,
Q70CQ3,L4,231,11550,其他酶,A 实验结构,,
Q72547,L1,35,1750,其他酶,A 实验结构,,
Q72547,L2,64,3200,其他酶,A 实验结构,,
Q7KAN4,L4,31,1550,其他/未分类,C 无置信度记录,,
Q7Z3E1,L4,574,28700,其他酶,C 预测·置信不足,0.628,0.989
Q7Z5P4,L4,894,44700,其他酶,A 实验结构,,
Q7ZJM1,L1,10,500,其他酶,C 无置信度记录,,
Q86SK9,L4,54,2700,其他酶,B 预测·置信达标,0.899,0.974
Q86TI2,L2,56,2800,蛋白酶,A 实验结构,,
Q86U44,L2,58,2900,其他酶,A 实验结构,,
Q86UE8,L4,68,3400,激酶,A 实验结构,,
Q86V86,L1,25,1250,激酶,C 无置信度记录,,
Q86V86,L2,37,1850,激酶,C 无置信度记录,,
Q86W56,L1,42,2100,其他酶,A 实验结构,,
Q86W56,L2,341,17050,其他酶,A 实验结构,,
Q86WV6,L1,25,1250,其他/未分类,A 实验结构,,
Q86WV6,L2,170,8500,其他/未分类,A 实验结构,,
Q86X55,L1,48,2400,表观,A 实验结构,,
Q86X55,L2,47,2350,表观,A 实验结构,,
Q86YT5,L1,16,800,转运体,A 实验结构,,
Q86YV6,L4,14,700,激酶,A 实验结构,,
Q8BHB0,L4,28,1400,其他/未分类,B 预测·置信达标,0.837,0.678
Q8IU80,L4,15,750,蛋白酶,B 预测·置信达标,0.837,0.981
Q8IVG9,L4,14,700,其他/未分类,C 预测·置信不足,0.477,0.702
Q8IVH8,L2,332,16600,激酶,A 实验结构,,
Q8IWV7,L4,10,500,其他酶,B 预测·置信达标,0.736,0.865
Q8IXJ6,L1,24,1200,表观,A 实验结构,,
Q8IXJ6,L2,17,850,表观,A 实验结构,,
Q8IYT8,L2,11,550,激酶,A 实验结构,,
Q8N1C3,L4,201,10050,离子通道,B 预测·置信达标,0.747,0.749
Q8N1Q1,L1,10,500,其他酶,A 实验结构,,
Q8N884,L1,14,700,其他酶,A 实验结构,,
Q8N884,L2,308,15400,其他酶,A 实验结构,,
Q8NEB9,L1,13,650,其他酶,A 实验结构,,
Q8NEB9,L2,57,2850,其他酶,A 实验结构,,
Q8NER1,L1,10,500,离子通道,A 实验结构,,
Q8NER1,L2,44,2200,离子通道,A 实验结构,,
Q8NET8,L2,296,14800,离子通道,A 实验结构,,
Q8NEV1,L4,11,550,激酶,B 预测·置信达标,0.890,0.983
Q8NFR9,L4,23,1150,其他/未分类,C 预测·置信不足,0.604,0.641
Q8NFU5,L2,66,3300,其他酶,A 实验结构,,
Q8NHG7,L4,90,4500,其他/未分类,C 预测·置信不足,0.626,0.844
Q8NI77,L2,1090,54500,其他/未分类,A 实验结构,,
Q8R431,L3,14,700,其他酶,B 预测·置信达标,0.958,0.959
Q8R4B8,L1,20,1000,其他/未分类,A 实验结构,,
Q8R4B8,L2,58,2900,其他/未分类,A 实验结构,,
Q8TAF3,L4,43,2150,表观,C 预测·置信不足,0.814,0.498
Q8TD08,L4,11,550,激酶,C 预测·置信不足,0.613,0.971
Q8TDU9,L4,10,500,GPCR,A 实验结构,,
Q8TDV5,L2,30,1500,GPCR,A 实验结构,,
Q8TF76,L1,13,650,激酶,A 实验结构,,
Q8TF76,L2,37,1850,激酶,A 实验结构,,
Q8VCR2,L4,23,1150,其他酶,B 预测·置信达标,0.795,0.772
Q8WUI4,L1,17,850,表观,A 实验结构,,
Q8WXE1,L4,108,5400,其他/未分类,C 预测·置信不足,0.544,0.716
Q8WYB5,L4,192,9600,其他酶,B 预测·置信达标,0.839,0.968
Q91WP0,L4,174,8700,其他/未分类,B 预测·置信达标,0.905,0.980
Q92551,L4,192,9600,其他酶,B 预测·置信达标,0.742,0.988
Q92633,L2,560,28000,GPCR,A 实验结构,,
Q92743,L4,12,600,其他酶,B 预测·置信达标,0.831,0.974
Q92769,L1,127,6350,表观,A 实验结构,,
Q92769,L2,338,16900,表观,A 实验结构,,
Q92793,L1,12,600,表观,A 实验结构,,
Q92793,L2,437,21850,表观,A 实验结构,,
Q92794,L4,859,42950,其他酶,A 实验结构,,
Q92830,L3,159,7950,表观,A 实验结构,,
Q92831,L2,41,2050,表观,A 实验结构,,
Q92905,L4,23,1150,其他酶,A 实验结构,,
Q92918,L1,161,8050,激酶,A 实验结构,,
Q92918,L2,2271,113550,激酶,A 实验结构,,
Q92932,L4,511,25550,其他/未分类,C 预测·置信不足,0.506,0.825
Q92993,L2,93,4650,表观,A 实验结构,,
Q93009,L1,16,800,蛋白酶,A 实验结构,,
Q93009,L2,293,14650,蛋白酶,A 实验结构,,
Q969S8,L1,38,1900,表观,C 无置信度记录,,
Q969S8,L2,11,550,表观,C 无置信度记录,,
Q96DB2,L4,71,3550,表观,B 预测·置信达标,0.906,0.808
Q96EB6,L1,11,550,表观,A 实验结构,,
Q96GD4,L1,24,1200,激酶,A 实验结构,,
Q96GG9,L2,510,25500,其他/未分类,A 实验结构,,
Q96GX5,L4,258,12900,其他酶,A 实验结构,,
Q96KP4,L4,110,5500,其他酶,A 实验结构,,
Q96KQ7,L1,30,1500,表观,A 实验结构,,
Q96KQ7,L2,34,1700,表观,A 实验结构,,
Q96LA8,L1,12,600,表观,A 实验结构,,
Q96LB1,L3,69,3450,GPCR,A 实验结构,,
Q96MU7,L1,11,550,其他/未分类,A 实验结构,,
Q96P20,L1,24,1200,其他/未分类,A 实验结构,,
Q96P20,L2,444,22200,其他/未分类,A 实验结构,,
Q96PC2,L4,44,2200,其他酶,B 预测·置信达标,0.748,0.987
Q96PD7,L4,67,3350,其他酶,B 预测·置信达标,0.817,0.881
Q96QP1,L4,445,22250,其他/未分类,A 实验结构,,
Q96RI1,L1,13,650,核受体,A 实验结构,,
Q96RI1,L2,61,3050,核受体,A 实验结构,,
Q96RJ0,L4,25,1250,GPCR,C 无置信度记录,,
Q96RU2,L4,48,2400,蛋白酶,A 实验结构,,
Q96S37,L1,24,1200,转运体,A 实验结构,,
Q96S37,L2,30,1500,转运体,A 实验结构,,
Q96SW2,L2,673,33650,其他/未分类,A 实验结构,,
Q99558,L2,55,2750,激酶,A 实验结构,,
Q99571,L2,49,2450,离子通道,A 实验结构,,
Q99572,L2,27,1350,离子通道,A 实验结构,,
Q99594,L3,102,5100,其他/未分类,A 实验结构,,
Q99640,L1,45,2250,激酶,A 实验结构,,
Q99640,L2,286,14300,激酶,A 实验结构,,
Q99683,L1,16,800,激酶,A 实验结构,,
Q99683,L2,76,3800,激酶,A 实验结构,,
Q99685,L1,11,550,其他酶,A 实验结构,,
Q99685,L2,380,19000,其他酶,A 实验结构,,
Q99705,L4,33,1650,GPCR,A 实验结构,,
Q99720,L1,63,3150,其他/未分类,A 实验结构,,
Q99720,L2,42,2100,其他/未分类,A 实验结构,,
Q99788,L4,44,2200,GPCR,B 预测·置信达标,0.747,0.966
Q99814,L2,114,5700,其他/未分类,A 实验结构,,
Q99873,L1,34,1700,表观,A 实验结构,,
Q99873,L2,30,1500,表观,A 实验结构,,
Q99986,L4,38,1900,激酶,A 实验结构,,
Q9BQ50,L4,116,5800,其他/未分类,B 预测·置信达标,0.927,0.901
Q9BQA1,L4,62,3100,表观,C 无置信度记录,,
Q9BUB5,L1,13,650,激酶,A 实验结构,,
Q9BUB5,L2,116,5800,激酶,A 实验结构,,
Q9BV86,L1,14,700,其他酶,A 实验结构,,
Q9BVC4,L4,10,500,其他/未分类,B 预测·置信达标,0.893,0.707
Q9BW19,L4,195,9750,其他/未分类,A 实验结构,,
Q9BWU1,L1,18,900,激酶,C 无置信度记录,,
