uniprot,layers,best_train_hit,identity,qcov,tcov,alnlen,self_hit
P52333,L1|L2,Q62137,0.8360,0.982,1.000,1104,1.000
P52429,L4,,,,,,0.000
P52895,L2,Q04828,0.9780,1.000,1.000,323,1.000
P53350,L1|L2,Q07832,0.9500,1.000,1.000,603,1.000
P53396,L2,P16638,0.9750,1.000,1.000,1101,1.000
P53634,L1|L2,Q02765,0.3520,0.527,0.703,244,1.000
P53667,L2,P53671,0.5460,0.938,0.969,618,1.000
P53671,L2,P53667,0.5460,0.969,0.938,618,1.000
P53779,L1|L2,P49187,0.9910,1.000,1.000,464,1.000
P54278,L4,,,,,,0.000
P54646,L1|L2,Q13131,0.7630,0.998,0.979,551,1.000
P55055,L1|L2,Q62755,0.8780,1.000,1.000,460,1.000
P56373,L2,Q3UR32,0.9370,1.000,1.000,397,1.000
P56450,L3,P32245,0.9390,1.000,0.997,332,0.000
P56524,L1|L2,Q9UKV0,0.5880,0.923,0.994,1005,1.000
P56528,L3,P28907,0.5900,0.987,0.987,300,0.000
P56817,L1|L2,P56818,0.9640,1.000,1.000,501,1.000
P57059,L4,,,,,,0.000
P61073,L2,O08565,0.9140,0.991,1.000,349,1.000
P61964,L1|L2,P61965,1.0000,1.000,1.000,334,1.000
P62813,L2,P14867,0.9840,1.000,1.000,456,1.000
P62837,L4,Q9NPD8,0.4310,0.966,0.741,146,0.000
P62937,L1|L2,V9HWF5,1.0000,1.000,1.000,165,1.000
P68400,L1|L2,Q5U5J2,1.0000,0.972,0.957,380,1.000
P69996,L2,Q0PXQ5,0.9920,1.000,1.000,569,1.000
P78396,L4,,,,,,0.000
P78527,L1|L2,,,,,,1.000
P78540,L1,P07824,0.6200,0.864,0.944,306,1.000
P79208,L2,O62698,0.9700,1.000,1.000,604,1.000
P80192,L2,,,,,,1.000
P80457,L1|L2,P47989,0.8960,1.000,1.000,1333,1.000
P81908,L1|L2,Q9N1N9,0.9940,1.000,0.953,574,1.000
P95160,L4,,,,,,0.000
P97321,L2,Q12884,0.8940,1.000,1.000,761,1.000
P97612,L2,O00519,0.8270,1.000,1.000,579,1.000
P97639,L4,P35346,0.3470,0.858,0.805,303,0.000
P97821,L3,P53634,0.7770,1.000,1.000,463,0.000
P98170,L2,Q13489,0.3440,0.950,0.954,576,1.000
P9WGR1,L2,P9WGR0,1.0000,1.000,1.000,269,1.000
Q00534,L1|L2,P11802,0.7020,0.908,0.983,298,1.000
Q00535,L1|L2,Q00526,0.6190,0.983,0.941,287,1.000
Q00536,L2,Q00537,0.6950,0.972,0.979,512,1.000
Q00959,L3,Q12879,0.9520,1.000,1.000,1464,1.000
Q00960,L2,Q13224,0.9840,1.000,1.000,1484,1.000
Q00961,L3,Q13224,0.5790,0.684,0.571,847,0.000
Q00987,L2,Q9UMT8,1.0000,1.000,1.000,491,1.000
Q01064,L2,Q5T3Z8,0.3830,0.554,0.917,309,1.000
Q01538,L4,,,,,,0.000
Q01650,L1,P63116,0.4970,0.921,0.885,469,1.000
Q01727,L3,Q01726,0.7630,1.000,1.000,317,0.000
Q01827,L1,Q8BRU6,0.9510,1.000,1.000,517,1.000
Q01959,L2,Q9GJT6,0.9880,1.000,1.000,620,1.000
Q01973,L4,,,,,,0.000
Q02127,L1|L2,Q63707,0.8860,1.000,1.000,395,1.000
Q02750,L1|L2,P36507,0.8170,0.975,0.970,388,1.000
Q02769,L2,P37268,0.8580,1.000,1.000,417,1.000
Q02779,L3,Q16584,0.6300,0.586,0.639,559,0.000
Q02974,L4,P50053,0.8650,1.000,1.000,298,0.000
Q03111,L2,P42568,0.5420,1.000,0.998,567,1.000
Q03164,L4,,,,,,1.000
Q03181,L1,P35396,0.9220,1.000,1.000,441,1.000
Q04609,L1|L2,P70627,0.8480,0.999,0.999,751,1.000
Q04759,L1|L2,Q05655,0.6280,0.999,0.997,705,1.000
Q04771,L2,P37172,0.9840,1.000,1.000,509,1.000
Q04828,L2,P52895,0.9780,1.000,1.000,323,1.000
Q04912,L4,P08581,0.3410,0.966,0.970,1352,0.000
Q05397,L1|L2,Q00944,0.9450,1.000,1.000,1053,1.000
Q05586,L1,P35439,0.9920,1.000,1.000,938,1.000
Q05941,L2,P49582,0.9960,1.000,1.000,502,1.000
Q06124,L1|L2,,,,,,1.000
Q06187,L1|L2,Q3ZC95,0.9860,1.000,1.000,659,1.000
Q06418,L1|L2,P55144,0.8860,1.000,1.000,890,1.000
Q06830,L4,,,,,,0.000
Q07343,L1|L2,P14646,0.9660,1.000,1.000,736,1.000
Q07422,L1,P07382,0.4200,0.990,0.946,604,1.000
Q07817,L1|L2,Q64373,0.9780,1.000,1.000,233,1.000
Q07820,L1|L2,P97287,0.7620,1.000,1.000,350,1.000
Q07869,L1,P23204,0.9230,1.000,1.000,468,1.000
Q07889,L1|L2,,,,,,1.000
Q07912,L1,O54967,0.9280,1.000,1.000,1055,1.000
Q08210,L2,Q54A96,1.0000,1.000,1.000,569,1.000
Q08211,L4,P53131,0.2880,0.544,0.831,691,1.000
Q08345,L1|L2,Q16832,0.5310,0.991,0.991,905,1.000
Q08499,L1|L2,Q01063,0.9840,0.812,0.878,657,1.000
Q08828,L4,P30803,0.4180,0.911,0.821,1039,0.000
Q08881,L1,P42680,0.5840,0.995,0.989,624,1.000
Q09472,L2,Q92793,0.6050,0.984,0.988,2412,1.000
Q10469,L4,,,,,,0.000
Q12809,L4,,,,,,0.000
Q12851,L2,Q8IVH8,0.5190,0.994,0.994,889,1.000
Q12866,L1|L2,P55144,0.4390,0.776,0.861,775,1.000
Q12879,L1|L2,Q00959,0.9520,1.000,1.000,1464,1.000
Q12884,L1|L2,A5D7B7,0.9390,1.000,1.000,760,1.000
Q12931,L2,Q2VPJ6,0.3290,0.655,0.894,523,1.000
Q13043,L1|L2,Q13188,0.7810,0.982,0.988,485,1.000
Q13085,L1|L2,P11497,0.9730,1.000,1.000,2346,1.000
Q13094,L4,,,,,,0.000
Q13131,L1,P54645,0.9910,1.000,1.000,559,1.000
Q13133,L1|L2,P55055,0.6900,0.834,0.863,397,1.000
Q13153,L2,Q13177,0.7670,0.998,0.998,544,1.000
Q13164,L1|L2,,,,,,1.000
Q13188,L1,Q9JI10,0.9570,1.000,1.000,497,1.000
Q13191,L4,Q3TTA7,0.9510,1.000,1.000,982,0.000
Q13224,L1|L2,Q00960,0.9840,1.000,1.000,1484,1.000
Q13233,L4,,,,,,0.000
Q13315,L1|L2,,,,,,1.000
Q13451,L2,Q02790,0.5710,0.941,0.941,432,1.000
Q13464,L1|L2,O75116,0.6580,0.987,0.975,1353,1.000
Q13489,L2,Q13490,0.7290,0.997,0.968,602,1.000
Q13490,L2,Q13489,0.7290,0.968,0.997,602,1.000
Q13526,L1|L2,,,,,,1.000
Q13535,L4,Q13315,0.2410,0.541,0.504,1539,0.000
Q13541,L4,,,,,,1.000
Q13546,L1|L2,,,,,,1.000
Q13547,L1|L2,O09106,0.9930,1.000,1.000,482,1.000
Q13564,L4,,,,,,1.000
Q13574,L4,,,,,,0.000
Q13627,L1|L2,Q63470,0.9960,1.000,1.000,763,1.000
Q13639,L4,P34971,0.3860,0.784,0.682,318,0.000
Q13686,L4,,,,,,0.000
Q13724,L4,,,,,,0.000
Q13822,L1|L2,Q9R1E6,0.9400,1.000,1.000,863,1.000
Q13946,L1|L2,Q5T3Z8,0.3620,0.585,0.861,290,1.000
Q14004,L2,Q9NYV4,0.4630,0.823,0.887,1322,1.000
Q14123,L3,Q01064,0.6010,0.733,0.916,520,0.000
Q14145,L1|L2,Q9Z2X8,0.9400,1.000,1.000,624,1.000
Q14191,L4,,,,,,0.000
Q14289,L1,Q9QVP9,0.9540,1.000,1.000,1009,1.000
Q14432,L2,Q13370,0.4730,0.868,0.890,990,1.000
Q14524,L2,Q9NY46,0.6280,0.981,0.985,1978,1.000
Q14721,L4,,,,,,0.000
Q14833,L2,P31423,0.9710,1.000,1.000,912,1.000
Q14994,L2,O35627,0.7360,1.000,0.975,352,1.000
Q15040,L4,,,,,,0.000
Q15059,L1|L2,Q658Y7,0.6250,0.977,0.926,742,1.000
Q15078,L4,,,,,,0.000
Q15116,L4,,,,,,0.000
Q15118,L1|L2,Q15119,0.6950,0.913,0.971,398,1.000
Q15119,L2,Q15118,0.6950,0.971,0.913,398,1.000
Q15125,L2,,,,,,1.000
Q15303,L1,P21860,0.5750,0.780,0.754,1020,1.000
Q15369,L4,P63208,0.3050,0.830,0.663,108,0.000
Q15391,L3,Q9H244,0.4740,0.929,0.918,314,0.000
Q15561,L1|L2,Q15562,0.6470,0.961,0.960,429,1.000
Q15562,L3,Q15561,0.6650,0.913,0.915,408,1.000
Q15633,L4,,,,,,0.000
Q15726,L4,,,,,,0.000
Q15858,L2,O08562,0.9310,0.997,0.998,1982,1.000
Q15878,L3,Q00975,0.5570,0.987,0.990,2315,0.000
Q15910,L1|L2,G1KPH4,0.9520,1.000,0.981,758,1.000
Q16204,L4,,,,,,0.000
Q16236,L4,,,,,,0.000
Q16288,L1|L2,Q16620,0.5390,0.993,0.989,833,1.000
Q16512,L1,Q6P5Z2,0.5260,0.956,0.972,901,1.000
Q16531,L4,Q15393,0.2310,0.972,0.981,1194,1.000
Q16539,L1|L2,P47811,0.9940,1.000,1.000,360,1.000
Q16548,L4,Q92843,0.2540,0.657,0.580,115,0.000
Q16552,L2,,,,,,1.000
Q16584,L2,,,,,,1.000
Q16602,L2,P47871,0.3170,0.738,0.761,363,1.000
Q16620,L1|L2,Q16288,0.5390,0.989,0.993,833,1.000
Q16665,L3,Q99814,0.4360,0.988,0.992,863,0.000
Q16678,L1|L2,P04798,0.4000,0.917,0.969,498,1.000
Q16739,L4,,,,,,0.000
Q16740,L2,P0A6G7,0.5620,0.693,0.928,192,1.000
Q16769,L1|L2,Q9CYK2,0.8230,1.000,1.000,362,1.000
Q16790,L1|L2,Q9ULX7,0.3860,0.695,0.941,319,1.000
Q16832,L4,Q08345,0.5320,0.988,0.989,903,1.000
Q16853,L4,Q29437,0.8150,0.966,0.980,747,1.000
Q16873,L2,P20292,0.4360,0.627,0.584,94,1.000
Q29550,L4,P23141,0.7650,1.000,1.000,567,0.000
Q2FYS5,L4,H7C794,0.7130,0.973,0.942,645,0.000
Q2KHZ8,L1,P04062,0.8910,1.000,1.000,536,1.000
Q2M2I8,L1|L2,Q9NSY1,0.5030,0.791,0.597,760,1.000
Q32ZE1,L2,H8XX12,0.9790,1.000,1.000,3419,1.000
Q3SYC2,L4,,,,,,0.000
Q3TBT3,L2,Q86WV6,0.6920,0.995,0.995,377,1.000
Q460N5,L2,,,,,,1.000
Q58F21,L2,Q91Y44,0.7050,1.000,1.000,956,1.000
Q5BJF2,L1|L2,Q5U3Y7,0.8120,1.000,1.000,176,1.000
Q5JRX3,L4,,,,,,0.000
Q5M868,L4,F6BL85,0.3730,0.811,0.908,740,0.000
Q5S007,L1|L2,Q5S006,0.8650,1.000,1.000,2527,1.000
Q5TCY1,L1,,,,,,1.000
Q5U3Y7,L2,Q5BJF2,0.8120,1.000,1.000,176,1.000
Q60492,L2,Q99720,0.9320,1.000,1.000,223,1.000
Q60795,L4,,,,,,0.000
Q62645,L3,Q00959,0.5870,0.616,0.551,815,0.000
Q63470,L2,Q13627,0.9960,1.000,1.000,763,1.000
Q64610,L2,Q9R1E6,0.9490,1.000,1.000,887,1.000
Q695T7,L4,P23978,0.3700,0.815,0.786,517,0.000
Q6GI75,L1,P54616,0.5890,0.980,0.973,251,1.000
Q6NS38,L4,,,,,,0.000
Q6P179,L1|L2,Q9NZ08,0.5100,0.971,0.979,932,1.000
Q6SZW1,L4,,,,,,0.000
Q6V1X1,L2,Q86TI2,0.6150,0.933,0.973,840,1.000
Q6ZQW0,L1|L2,Q8R0V5,0.7260,0.995,0.995,405,1.000
Q70CQ3,L4,,,,,,0.000
Q72547,L1|L2,Q72498,0.9640,1.000,0.564,566,1.000
Q7KAN4,L4,,,,,,0.000
Q7Z3E1,L4,,,,,,0.000
Q7Z5P4,L4,P28845,0.2930,0.577,0.592,173,0.000
Q86SK9,L4,,,,,,0.000
Q86TI2,L2,Q6V1X1,0.6150,0.973,0.933,840,1.000
Q86U44,L2,,,,,,1.000
Q86UE8,L4,,,,,,0.000
Q86V86,L1|L2,P11309,0.6920,0.960,0.987,313,1.000
Q86W56,L1|L2,O02776,0.9040,0.999,0.999,976,1.000
Q86WV6,L1|L2,Q3TBT3,0.6900,0.997,0.997,378,1.000
Q86X55,L1|L2,Q9WVG6,0.9800,0.998,0.997,607,1.000
Q86YT5,L1,,,,,,1.000
Q86YV6,L4,Q9UIK4,0.4650,0.688,0.735,272,0.000
Q8BHB0,L4,Q96P20,0.2470,0.789,0.694,752,0.000
Q8IU80,L4,Q9Y5Y6,0.3200,0.921,0.919,786,0.000
Q8IVG9,L4,,,,,,0.000
Q8IVH8,L2,Q12851,0.5230,0.994,0.994,889,1.000
Q8IWV7,L4,Q8IWV8,0.4740,0.994,0.991,1739,0.000
Q8IXJ6,L1|L2,Q9NTG7,0.4790,0.825,0.749,321,1.000
Q8IYT8,L2,O75385,0.5260,0.992,0.987,1036,1.000
Q8N1C3,L4,P48169,0.5190,0.744,0.650,360,0.000
Q8N1Q1,L1,Q9D6N1,0.9120,1.000,1.000,262,1.000
Q8N884,L1|L2,Q8C6L5,0.5590,0.964,0.980,503,1.000
Q8NEB9,L1|L2,Q9W1M7,0.5520,0.995,0.995,944,1.000
Q8NER1,L1|L2,O35433,0.8580,1.000,1.000,839,1.000
Q8NET8,L2,O35433,0.4580,0.806,0.783,656,1.000
Q8NEV1,L4,Q5U5J2,0.9860,0.972,0.957,380,0.000
Q8NFR9,L4,,,,,,0.000
Q8NFU5,L2,,,,,,1.000
Q8NHG7,L4,,,,,,0.000
Q8NI77,L2,,,,,,1.000
Q8R431,L3,O35678,0.9200,1.000,1.000,303,0.000
Q8R4B8,L1|L2,Q96P20,0.8270,1.000,0.998,1034,1.000
Q8TAF3,L4,,,,,,0.000
Q8TD08,L4,P63086,0.4470,0.570,0.858,310,0.000
Q8TDU9,L4,P31391,0.3340,0.714,0.673,267,0.000
Q8TDV5,L2,P50406,0.3060,0.630,0.525,231,1.000
Q8TF76,L1|L2,,,,,,1.000
Q8VCR2,L4,P14061,0.2850,0.556,0.527,173,0.000
Q8WUI4,L1,P56524,0.5030,0.978,0.909,985,1.000
Q8WXE1,L4,,,,,,0.000
Q8WYB5,L4,Q92794,0.4850,1.000,1.000,2073,0.000
Q91WP0,L4,Q9Y5Y6,0.2590,0.950,0.730,651,0.000
Q92551,L4,Q8NFU5,0.2760,0.526,0.695,289,0.000
Q92633,L2,Q9HBW0,0.5730,0.841,0.882,307,1.000
Q92743,L4,P39099,0.3550,0.569,0.622,283,1.000
Q92769,L1|L2,O09106,0.8610,0.990,0.992,483,1.000
Q92793,L1|L2,P45481,0.9520,1.000,1.000,2442,1.000
Q92794,L4,,,,,,1.000
Q92830,L3,Q9JHD1,0.7380,0.907,0.941,765,0.000
Q92831,L2,Q9JHD1,0.9360,0.964,0.988,803,1.000
Q92905,L4,,,,,,1.000
Q92918,L1|L2,Q8IVH8,0.4400,0.977,0.993,888,1.000
Q92932,L4,,,,,,0.000
Q92993,L2,,,,,,1.000
Q93009,L1|L2,,,,,,1.000
Q969S8,L1|L2,F1QCV2,0.4560,0.990,0.988,667,1.000
Q96DB2,L4,O67135,0.2660,0.784,0.744,279,0.000
Q96EB6,L1,,,,,,1.000
Q96GD4,L1,Q9UQB9,0.7630,0.887,0.981,305,1.000
Q96GG9,L2,Q6PH85,0.7880,0.985,0.985,255,1.000
Q96GX5,L4,,,,,,1.000
Q96KP4,L4,Q9D1A2,0.9110,1.000,1.000,475,0.000
Q96KQ7,L1|L2,Q9H9B1,0.5810,0.729,0.683,886,1.000
Q96LA8,L1,Q3UKX1,0.3920,0.800,0.667,300,1.000
Q96LB1,L3,Q96LB2,0.6470,0.997,0.994,329,0.000
Q96MU7,L1,,,,,,1.000
Q96P20,L1|L2,Q8R4B8,0.8270,0.998,1.000,1034,1.000
Q96PC2,L4,,,,,,0.000
Q96PD7,L4,,,,,,0.000
Q96QP1,L4,,,,,,0.000
Q96RI1,L1|L2,A1L4K5,1.0000,1.000,1.000,486,1.000
Q96RJ0,L4,Q95136,0.3420,0.850,0.704,314,0.000
Q96RU2,L4,,,,,,0.000
Q96S37,L1|L2,Q8VC69,0.4390,0.966,0.949,534,1.000
Q96SW2,L2,,,,,,1.000
Q99558,L2,Q9WUL6,0.8400,1.000,1.000,947,1.000
Q99571,L2,P51575,0.5180,0.969,0.930,376,1.000
Q99572,L2,Q9Z1M0,0.8080,1.000,1.000,595,1.000
Q99594,L3,Q15561,0.6990,1.000,0.984,435,0.000
Q99640,L1|L2,Q9JI10,0.2950,0.543,0.549,273,1.000
Q99683,L1|L2,Q6ZN16,0.5830,0.975,0.986,1339,1.000
Q99685,L1|L2,O35678,0.8410,1.000,1.000,303,1.000
Q99705,L4,P35346,0.3470,0.858,0.805,303,0.000
Q99720,L1|L2,Q9R0C9,0.9370,1.000,1.000,223,1.000
Q99788,L4,P21462,0.3780,0.807,0.860,301,0.000
Q99814,L2,Q9Y2N7,0.4330,0.615,0.740,535,1.000
Q99873,L1|L2,O60678,0.5180,0.814,0.571,303,1.000
Q99986,L4,P48729,0.2940,0.727,0.786,288,0.000
Q9BQ50,L4,,,,,,0.000
Q9BQA1,L4,,,,,,0.000
Q9BUB5,L1|L2,B5BUJ6,0.9090,1.000,1.000,465,1.000
Q9BV86,L1,,,,,,1.000
Q9BVC4,L4,P61965,0.2570,0.712,0.656,232,0.000
Q9BW19,L4,,,,,,0.000
Q9BWU1,L1|L2,P49336,0.7740,1.000,1.000,502,1.000
Q9BY08,L4,Q15125,0.3280,0.684,0.604,141,0.000
Q9BY41,L1|L2,Q92769,0.4340,0.902,0.697,340,1.000
Q9BZ95,L4,O96028,0.4720,0.884,0.892,1270,1.000
Q9BZP6,L2,Q91XA9,0.8100,0.998,0.998,475,1.000
Q9C0B1,L1|L2,,,,,,1.000
Q9CVD2,L4,,,,,,0.000
Q9DGD3,L4,P06493,0.8590,0.960,0.980,291,0.000
Q9GZQ6,L4,P56718,0.3600,0.723,0.817,340,0.000
Q9GZQ8,L1,Q9H492,0.8250,0.960,0.992,120,1.000
Q9GZT9,L2,Q96KS0,0.6750,0.531,0.560,228,1.000
Q9GZZ6,L4,P36544,0.4650,0.733,0.655,330,0.000
Q9H093,L4,Q16644,0.2990,0.502,0.877,335,0.000
Q9H0K1,L4,,,,,,0.000
Q9H299,L4,,,,,,0.000
Q9H2K2,L1|L2,O95271,0.8210,0.990,0.866,1154,1.000
Q9H300,L4,,,,,,0.000
Q9H3N8,L2,Q91ZY1,0.6930,1.000,1.000,391,1.000
Q9H7B4,L2,Q9NRG4,0.3220,0.956,0.965,418,1.000
Q9H7M9,L4,,,,,,0.000
Q9H7Z6,L4,Q92993,0.3860,0.858,0.981,503,0.000
Q9H8M2,L2,A6NFY8,1.0000,1.000,1.000,597,1.000
Q9H999,L1|L2,,,,,,1.000
Q9H9B1,L1,Q96KQ7,0.5860,0.679,0.724,881,1.000
Q9HAZ1,L2,P49759,0.7910,0.998,0.996,482,1.000
Q9HB14,L4,O14649,0.3250,0.654,0.614,267,0.000
Q9HBH9,L1|L2,B5BUJ6,0.7240,0.871,0.941,405,1.000
Q9HBX9,L4,P21554,0.2260,0.550,0.862,416,0.000
Q9HC35,L4,,,,,,0.000
Q9HC84,L4,,,,,,0.000
Q9HCE5,L4,,,,,,0.000
Q9HCR9,L3,O76074,0.4430,0.758,0.809,708,0.000
Q9IWW8,L4,,,,,,0.000
Q9NP56,L3,Q13946,0.6280,0.920,0.857,414,0.000
Q9NPC1,L3,Q15722,0.4630,0.799,0.810,286,0.000
Q9NPF7,L4,,,,,,0.000
Q9NPH5,L4,,,,,,0.000
Q9NQS5,L1|L2,P28566,0.2530,0.907,0.907,359,1.000
Q9NR19,L4,P08659,0.2550,0.526,0.647,369,0.000
Q9NR22,L3,Q99873,0.8150,0.865,0.916,341,0.000
Q9NR48,L2,,,,,,1.000
Q9NR96,L4,P58681,0.3630,0.965,0.968,1016,0.000
Q9NR97,L2,Q9NYK1,0.4310,0.969,0.972,1020,1.000
Q9NSD7,L4,P35346,0.3350,0.806,0.904,378,0.000
Q9NSU2,L4,,,,,,0.000
Q9NSY1,L2,,,,,,1.000
Q9NVM4,L4,,,,,,0.000
Q9NWZ3,L1|L2,P51617,0.3230,0.830,0.574,409,1.000
Q9NXA8,L1,Q6DHI5,0.6910,0.965,0.997,304,1.000
Q9NXS2,L2,Q9CYK2,0.5190,0.804,0.867,314,1.000
Q9NY59,L4,,,,,,0.000
Q9NYK1,L2,B3Y653,0.9790,1.000,1.000,1049,1.000
Q9NYL2,L2,P51955,0.2450,0.596,0.987,477,1.000
Q9NYV4,L1|L2,Q14004,0.4820,0.804,0.770,1198,1.000
Q9NZQ7,L1|L2,,,,,,1.000
Q9P1W9,L1|L2,Q86V86,0.6510,0.859,0.816,267,1.000
Q9P2K8,L1|L2,,,,,,1.000
Q9QYN8,L2,Q9Y5N1,0.9370,1.000,1.000,445,1.000
Q9UBE0,L4,,,,,,0.000
Q9UBF8,L1|L2,,,,,,1.000
Q9UBM7,L4,,,,,,0.000
Q9UBN7,L1|L2,Q9Z2V5,0.7470,1.000,1.000,1215,1.000
Q9UDY8,L1|L2,,,,,,1.000
Q9UEE5,L2,O94768,0.5470,0.879,0.935,364,1.000
Q9UGI9,L4,,,,,,0.000
Q9UGL1,L1,P29375,0.5020,0.988,0.985,1664,1.000
Q9UGN5,L1|L2,O88554,0.8390,1.000,1.000,583,1.000
Q9UHH9,L4,,,,,,0.000
Q9UIQ6,L1|L2,Q9NZ08,0.4620,0.852,0.951,895,1.000
Q9UJ71,L4,Q9H2X3,0.2920,0.622,0.531,212,1.000
Q9UK32,L2,Q9WUT3,0.7780,0.937,0.955,700,1.000
Q9UKE5,L1|L2,O95819,0.6420,1.000,1.000,1360,1.000
Q9UKP4,L4,,,,,,0.000
Q9UKS7,L3,Q13422,0.5510,0.943,0.925,496,0.000
Q9UKV0,L1,Q9UQL6,0.5890,0.994,0.919,1031,1.000
Q9UKX2,L4,Q9BE39,0.8060,0.998,0.999,1938,0.000
Q9UL62,L2,Q13507,0.3940,0.753,0.855,787,1.000
Q9ULC5,L4,Q27757,0.2500,0.647,0.730,442,0.000
Q9ULV8,L4,,,,,,0.000
Q9ULX7,L1|L2,O43570,0.4340,0.929,0.895,317,1.000
Q9UM07,L2,Q9ULW8,0.5590,1.000,1.000,664,1.000
Q9UM73,L1|L2,,,,,,1.000
Q9UNA0,L2,Q9UHI8,0.4420,0.888,0.846,826,1.000
Q9UNQ0,L2,,,,,,1.000
Q9UQB9,L1|L2,Q96GD4,0.8440,0.874,0.785,270,1.000
Q9UQD0,L1|L2,Q99250,0.7580,0.999,1.000,2004,1.000
Q9UQL6,L1,Q9Z2V6,0.9440,1.000,1.000,1122,1.000
Q9WHN8,L4,P04293,0.3150,0.907,0.851,1126,0.000
Q9Y233,L1|L2,Q9QYJ6,0.9650,0.741,0.985,782,1.000
Q9Y239,L4,Q8R4B8,0.2460,0.782,0.687,745,0.000
Q9Y243,L1,B2RAM5,0.8270,0.996,0.996,478,1.000
Q9Y251,L2,,,,,,1.000
Q9Y2D0,L1,P35218,0.6410,0.880,0.915,279,1.000
Q9Y2I1,L4,,,,,,0.000
Q9Y2I7,L4,,,,,,0.000
Q9Y2K2,L1|L2,,,,,,1.000
Q9Y2R2,L1,,,,,,1.000
Q9Y463,L1,Q63470,0.7400,0.798,0.663,506,1.000
Q9Y4K0,L4,,,,,,0.000
Q9Y4K4,L3,Q8IVH8,0.6580,0.995,1.000,894,0.000
Q9Y572,L2,O43353,0.3330,0.537,0.533,288,1.000
Q9Y5N1,L2,Q9QYN8,0.9370,1.000,1.000,445,1.000
Q9Y5X5,L4,P56719,0.3400,0.596,0.724,333,0.000
Q9Y5Y6,L2,,,,,,1.000
Q9Y5Y9,L1|L2,Q62968,0.8290,1.000,0.999,1956,1.000
Q9Y5Z0,L1|L2,Q6IE75,0.8890,1.000,1.000,518,1.000
Q9Y618,L4,,,,,,0.000
Q9Y657,L2,,,,,,1.000
Q9Y6M4,L3,P78368,0.8010,0.957,0.945,428,1.000
Q9Z0U4,L2,Q9UBS5,0.9870,1.000,0.999,960,1.000
Q9Z1M0,L2,Q64663,0.8500,1.000,1.000,595,1.000
