uniprot_a,layer_a,class_a,uniprot_b,layer_b,class_b,identity
P25929,L4,GPCR,P28223,L4,GPCR,0.2214
P11802,L1,激酶,P31751,L2,激酶,0.2211
O60885,L2,表观,Q09472,L2,表观,0.2210
P21554,L2,GPCR,P29274,L2,GPCR,0.2209
P30542,L2,GPCR,P37288,L3,GPCR,0.2209
O43614,L2,GPCR,P18825,L2,GPCR,0.2207
O88634,L4,GPCR,P50052,L4,GPCR,0.2204
P17948,L4,激酶,Q16620,L2,激酶,0.2202
P09619,L2,激酶,P12931,L1,激酶,0.2201
P21917,L4,GPCR,P37288,L3,GPCR,0.2201
P21554,L2,GPCR,P35462,L4,GPCR,0.2200
O88634,L4,GPCR,P29275,L2,GPCR,0.2199
P41146,L2,GPCR,P50406,L2,GPCR,0.2189
P25929,L4,GPCR,P37288,L3,GPCR,0.2188
P25929,L4,GPCR,P61073,L2,GPCR,0.2188
P31749,L2,激酶,P57059,L4,激酶,0.2188
O43614,L2,GPCR,P28223,L4,GPCR,0.2185
P08173,L2,GPCR,P28335,L2,GPCR,0.2183
P05622,L3,激酶,P12931,L1,激酶,0.2183
P29274,L2,GPCR,Q96LB1,L3,GPCR,0.2182
O95835,L4,激酶,P24941,L2,激酶,0.2181
O43614,L2,GPCR,P08908,L2,GPCR,0.2180
P11802,L1,激酶,Q9H0K1,L4,激酶,0.2178
P41143,L2,GPCR,P41595,L1,GPCR,0.2177
P08908,L2,GPCR,P37288,L3,GPCR,0.2177
P53779,L2,激酶,Q8IVH8,L2,激酶,0.2177
O43613,L2,GPCR,P50052,L4,GPCR,0.2176
P34969,L4,GPCR,P50052,L4,GPCR,0.2176
P21917,L4,GPCR,P35372,L2,GPCR,0.2175
O88634,L4,GPCR,Q92633,L2,GPCR,0.2170
P08908,L2,GPCR,Q92633,L2,GPCR,0.2170
P29274,L2,GPCR,Q92633,L2,GPCR,0.2170
P34969,L4,GPCR,Q92633,L2,GPCR,0.2170
P28223,L4,GPCR,P32245,L2,GPCR,0.2169
P29275,L2,GPCR,P41145,L2,GPCR,0.2169
P32245,L2,GPCR,P41145,L2,GPCR,0.2169
O43614,L2,GPCR,P34972,L2,GPCR,0.2167
P28335,L2,GPCR,P34972,L2,GPCR,0.2167
P35968,L1,激酶,Q16620,L2,激酶,0.2165
O43613,L2,GPCR,P21554,L2,GPCR,0.2165
P08908,L2,GPCR,P41146,L2,GPCR,0.2162
P37288,L3,GPCR,P41146,L2,GPCR,0.2162
P29274,L2,GPCR,P41595,L1,GPCR,0.2160
P29274,L2,GPCR,P50406,L2,GPCR,0.2160
P50406,L2,GPCR,P61073,L2,GPCR,0.2159
P08908,L2,GPCR,P41145,L2,GPCR,0.2158
P29274,L2,GPCR,P41145,L2,GPCR,0.2158
P41145,L2,GPCR,P50406,L2,GPCR,0.2158
P49759,L2,激酶,P53779,L2,激酶,0.2155
P35372,L2,GPCR,Q9H3N8,L2,GPCR,0.2154
O94921,L3,激酶,O96017,L2,激酶,0.2154
P35372,L2,GPCR,P41595,L1,GPCR,0.2150
P21554,L2,GPCR,P50052,L4,GPCR,0.2149
P06241,L2,激酶,P24941,L2,激酶,0.2148
P11362,L1,激酶,P24941,L2,激酶,0.2148
P12931,L1,激酶,P24941,L2,激酶,0.2148
P23458,L2,激酶,P24941,L2,激酶,0.2148
P30542,L2,GPCR,P34972,L2,GPCR,0.2147
P31749,L2,激酶,Q9H0K1,L4,激酶,0.2146
P11802,L1,激酶,P29597,L2,激酶,0.2145
P11802,L1,激酶,Q92918,L1,激酶,0.2145
P31391,L2,GPCR,P43220,L3,GPCR,0.2139
P34972,L2,GPCR,P35372,L2,GPCR,0.2139
P32245,L2,GPCR,P35372,L2,GPCR,0.2139
P0DMS8,L2,GPCR,P35462,L4,GPCR,0.2138
P0DMS8,L2,GPCR,P41146,L2,GPCR,0.2138
O94921,L3,激酶,P53779,L2,激酶,0.2134
O96017,L2,激酶,P53779,L2,激酶,0.2134
P08908,L2,GPCR,P21554,L2,GPCR,0.2133
O43613,L2,GPCR,P37288,L3,GPCR,0.2129
P37288,L3,GPCR,P50406,L2,GPCR,0.2129
P21554,L2,GPCR,Q9H3N8,L2,GPCR,0.2128
P30530,L2,激酶,P50750,L2,激酶,0.2124
P49760,L2,激酶,P50750,L2,激酶,0.2124
P37288,L3,GPCR,Q96LB1,L3,GPCR,0.2121
O43613,L2,GPCR,Q92633,L2,GPCR,0.2115
P28335,L2,GPCR,P31391,L2,GPCR,0.2113
O60674,L1,激酶,P11802,L1,激酶,0.2112
P11802,L1,激酶,P57059,L4,激酶,0.2112
P11802,L1,激酶,Q99683,L2,激酶,0.2112
P11802,L1,激酶,Q9NSY1,L2,激酶,0.2112
O94921,L3,激酶,Q13627,L1,激酶,0.2111
P29274,L2,GPCR,P41146,L2,GPCR,0.2108
P06239,L2,激酶,P48729,L2,激酶,0.2107
P06239,L2,激酶,P30530,L2,激酶,0.2102
P28223,L4,GPCR,P35372,L2,GPCR,0.2100
P50750,L2,激酶,P57059,L4,激酶,0.2097
P28223,L4,GPCR,P50052,L4,GPCR,0.2094
P50052,L4,GPCR,P50406,L2,GPCR,0.2094
P11362,L1,激酶,Q16620,L2,激酶,0.2092
P06241,L2,激酶,P30530,L2,激酶,0.2086
P21554,L2,GPCR,P41146,L2,GPCR,0.2081
P08173,L2,GPCR,P28223,L4,GPCR,0.2081
O75116,L2,激酶,P24941,L2,激酶,0.2081
P04049,L2,激酶,P11802,L1,激酶,0.2079
P07949,L2,激酶,P11802,L1,激酶,0.2079
P25929,L4,GPCR,P41145,L2,GPCR,0.2079
P32245,L2,GPCR,P50406,L2,GPCR,0.2078
O43613,L2,GPCR,Q9H3N8,L2,GPCR,0.2077
P0DMS8,L2,GPCR,P37288,L3,GPCR,0.2075
P0DMS8,L2,GPCR,Q96LB1,L3,GPCR,0.2075
P12931,L1,激酶,P30530,L2,激酶,0.2071
O88634,L4,GPCR,P35372,L2,GPCR,0.2071
P31749,L2,激酶,P50750,L2,激酶,0.2070
P41143,L2,GPCR,P50406,L2,GPCR,0.2070
P50750,L2,激酶,Q9HAZ1,L2,激酶,0.2070
P06241,L2,激酶,P09619,L2,激酶,0.2067
P06239,L2,激酶,P29597,L2,激酶,0.2063
P41143,L2,GPCR,Q96LB1,L3,GPCR,0.2061
O43614,L2,GPCR,Q92633,L2,GPCR,0.2060
O75116,L2,激酶,P30990,L4,其他/未分类,0.2059
P03372,L2,核受体,Q96RI1,L2,核受体,0.2058
P25929,L4,GPCR,Q9H3N8,L2,GPCR,0.2057
P34972,L2,GPCR,P41146,L2,GPCR,0.2056
P34972,L2,GPCR,Q92633,L2,GPCR,0.2056
P14416,L4,GPCR,P30542,L2,GPCR,0.2055
P30542,L2,GPCR,Q96LB1,L3,GPCR,0.2055
P21554,L2,GPCR,P41145,L2,GPCR,0.2053
P28223,L4,GPCR,P41145,L2,GPCR,0.2053
O43614,L2,GPCR,P34969,L4,GPCR,0.2050
P05622,L3,激酶,P06241,L2,激酶,0.2048
P06241,L2,激酶,P07333,L2,激酶,0.2048
P29275,L2,GPCR,P37288,L3,GPCR,0.2048
P29275,L2,GPCR,P61073,L2,GPCR,0.2048
P11362,L1,激酶,P48729,L2,激酶,0.2047
P24941,L2,激酶,Q16620,L2,激酶,0.2047
O75116,L2,激酶,P11802,L1,激酶,0.2046
O95819,L2,激酶,P11802,L1,激酶,0.2046
P11802,L1,激酶,P19525,L4,激酶,0.2046
O88634,L4,GPCR,P37288,L3,GPCR,0.2045
O88634,L4,GPCR,P61073,L2,GPCR,0.2045
P28335,L2,GPCR,P61073,L2,GPCR,0.2045
P0DMS8,L2,GPCR,P61073,L2,GPCR,0.2044
P50750,L2,激酶,Q13233,L4,激酶,0.2043
O96017,L2,激酶,P31749,L2,激酶,0.2042
P28335,L2,GPCR,P50052,L4,GPCR,0.2039
P00533,L2,激酶,Q13188,L1,激酶,0.2037
P07333,L2,激酶,P12931,L1,激酶,0.2034
P10275,L2,核受体,P11474,L2,核受体,0.2033
P50406,L2,GPCR,Q92633,L2,GPCR,0.2033
P25929,L4,GPCR,P34969,L4,GPCR,0.2031
P49760,L2,激酶,P53779,L2,激酶,0.2026
O43614,L2,GPCR,Q9H3N8,L2,GPCR,0.2026
P34969,L4,GPCR,Q9H3N8,L2,GPCR,0.2026
O88634,L4,GPCR,P30542,L2,GPCR,0.2025
P06239,L2,激酶,P23458,L2,激酶,0.2024
P06239,L2,激酶,Q16832,L4,激酶,0.2024
P32245,L2,GPCR,P37288,L3,GPCR,0.2018
P06241,L2,激酶,P48729,L2,激酶,0.2018
P18825,L2,GPCR,P41143,L2,GPCR,0.2016
P07949,L2,激酶,P12931,L1,激酶,0.2015
P07949,L2,激酶,P24941,L2,激酶,0.2013
O14757,L2,激酶,P11802,L1,激酶,0.2013
Q12884,L2,蛋白酶,Q86TI2,L2,蛋白酶,0.2013
O43614,L2,GPCR,P50052,L4,GPCR,0.2011
O95835,L4,激酶,O96017,L2,激酶,0.2007
P25929,L4,GPCR,P29274,L2,GPCR,0.2005
P06239,L2,激酶,Q16620,L2,激酶,0.2004
O43613,L2,GPCR,P34969,L4,GPCR,0.2000
P08908,L2,GPCR,P37840,L4,其他/未分类,0.2000
P08922,L2,激酶,P37840,L4,其他/未分类,0.2000
P21917,L4,GPCR,Q9H3N8,L2,GPCR,0.2000
P30990,L4,其他/未分类,Q07817,L2,离子通道,0.2000
P34972,L2,GPCR,P50052,L4,GPCR,0.2000
